Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36309741,Как устроено кино. Теория и история кинематографа,Edward Ross,"Ross, Edward",Эдвард Росс,"=""5001009308""","=""9785001009306""",4,4.01,"Манн, Иванов и Фербер",Paperback,192,2017,2015,2019/01/22,2019/01/17,,,read,"В целом довольно занимательно и читается легко, но без фанатизма. Истории и факты очень и очень поверхностные и не слишком запоминающиеся. Переосмыслить ранее виденные фильмы не получилось, хотя, если быть честным, некоторые захотелось пересмотреть, а с некоторыми познакомиться. Как результат - уже неплохо. Читается буквально за пару вечеров.  ",,,1,,,0,,,,,
38570896,Электрические сны Филипа К. Дика,Philip K. Dick,"Dick, Philip K.",,"=""""","=""9785040910243""",3,4.12,Эксмо,Hardcover,320,2018,2017,2019/01/17,2019/01/06,,,read,,,,1,,,0,,,,,
29340547,Angular 2 Development with TypeScript,Yakov Fain,"Fain, Yakov",Anton Moiseev,"=""1617293121""","=""9781617293122""",0,3.93,Manning,ebook,325,2016,,,2019/01/06,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
33983153,Голубая точка. Космическое будущее человечества,Carl Sagan,"Sagan, Carl",Карл Саган,"=""""","=""""",4,4.30,,Kindle Edition,,,1994,2019/01/06,2018/11/30,,,read,,,,1,,,0,,,,,
30041993,Модицина. Encyclopedia Pathologica,Никита Жуков,"Жуков, Никита",,"=""9785170942""","=""""",3,3.81,АСТ,Hardcover,,2016,2016,2019/01/06,2018/12/15,,,read,,,,1,,,0,,,,,
34053129,Экономикс. Как работает экономика (и почему не работает) в словах и картинках,Michael Goodwin,"Goodwin, Michael",Майкл Гудвин,"=""""","=""9785001003809""",4,4.33,"Манн, Иванов и Фербер",Paperback,296,2017,2012,2018/12/19,2018/12/09,,,read,,,,1,,,0,,,,,
3134687,Защита Лужина,Vladimir Nabokov,"Nabokov, Vladimir",Владимир Набоков,"=""5170215452""","=""9785170215454""",4,3.96, АСТ,Hardcover,544,2004,1929,2018/04/15,2018/04/15,,,read,,,,1,,,0,,,,,
7602108,Общага-на-Крови,Алексей Иванов,"Иванов, Алексей",,"=""""","=""""",5,3.54,ACT,Hardcover,352,2013,2006,2018/05/10,2018/05/10,,,read,,,,1,,,0,,,,,
7011712,The Телки. Повесть о ненастоящей любви,Sergey Minaev,"Minaev, Sergey",,"=""""","=""""",3,3.35,АСТ,Hardcover,544,2008,2008,2018/05/10,2018/05/10,,,read,,,,1,,,0,,,,,
17986418,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,"=""039334777X""","=""9780393347777""",4,3.94,W. W. Norton  Company,Paperback,304,2014,2012,2018/05/18,2018/05/18,,,read,,,,1,,,0,,,,,
24911290,ДухLess 21 века. Селфи,Sergey Minaev,"Minaev, Sergey",Сергей Минаев,"=""""","=""9785170822164""",4,3.44,"Жанры, АСТ",Hardcover,416,2015,2015,2018/06/02,2018/06/02,,,read,,,,1,,,0,,,,,
2853595,Сумерки,Dmitry Glukhovsky,"Glukhovsky, Dmitry",Дмитрий Глуховский,"=""""","=""9785271240249""",3,3.78,АСТ,Paperback,320,2007,2007,2018/06/06,2018/06/06,,,read,,,,1,,,0,,,,,
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",4,4.23,Prentice Hall,Paperback,432,2017,2017,2018/06/29,2018/06/29,,,read,,,,2,,,0,,,,,
35456269,"Что скрывает кожа. 2 квадратных метра, которые диктуют, как нам жить",Yael Adler,"Adler, Yael",Йаэль Адлер,"=""""","=""9785699934492""",4,3.82,Эксмо,Hardcover,352,2017,2016,2018/06/29,2018/06/29,,,read,,,,1,,,0,,,,,
18114087,The Knowledge: How to Rebuild Our World from Scratch,Lewis Dartnell,"Dartnell, Lewis",,"=""159420523X""","=""9781594205231""",4,3.75,Penguin Books,Hardcover,340,2014,2014,2018/06/29,2018/06/29,,,read,,,,1,,,0,,,,,
40308463,Человек-невидимка,Dobbs,"Dobbs, Dobbs","Christophe Regnault, H.G. Wells","=""""","=""9785040934249""",5,3.96,Э,Hardcover,112,2018,,2018/07/16,2018/07/16,,,read,,,,1,,,0,,,,,
10244384,Черный лебедь. Под знаком непредсказуемости,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""5389005732""","=""9785389005730""",5,3.94,КоЛибри,Hardcover,528,,2007,2018/07/23,2018/07/23,,,read,,,,1,,,0,,,,,
13111008,Четвертый ледниковый период,Kōbō Abe,"Abe, Kōbō",С. Бережков,"=""""","=""""",4,3.69,Молодая гвардия,Hardcover,239,1965,1959,2018/08/29,2018/08/29,,,read,,,,1,,,0,,,,,
21947444,Обитель,Zakhar Prilepin,"Prilepin, Zakhar",Захар Прилепин,"=""""","=""9785170844838""",4,4.26,Редакция Елены Шубиной,Hardcover,742,2014,2014,2018/11/08,2018/11/08,,,read,,,,1,,,0,,,,,
33527633,Sapiens: Краткая история человечества,Yuval Noah Harari,"Harari, Yuval Noah","Л. Сумм, Юваль Ной Харари","=""""","=""""",5,4.41,Синдбад,Kindle Edition,480,2016,2011,2018/04/02,2018/04/02,,,read,,,,2,,,0,,,,,
37912331,Не прощаюсь,Boris Akunin,"Akunin, Boris",Борис Акунин,"=""5815914770""","=""9785815914773""",3,3.79,Захаров,Hardcover,416,2018,,2018/04/02,2018/04/02,,,read,,,,2,,,0,,,,,
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,"=""0385514239""","=""9780385514231""",5,3.87,Doubleday,Hardcover,456,2017,2017,2018/01/09,2018/01/09,,,read,,,,1,,,0,,,,,
25820078,Smashing Book 5: Real-Life Responsive Web Design — Part 1,Smashing Magazine,"Magazine, Smashing",,"=""""","=""""",5,4.36,Smashing Magazine,Kindle Edition,395,2015,2015,2018/12/05,2018/11/17,,,read,,,,1,,,0,,,,,
25487325,Аврора. Другая история. Книга 1,Тимофей Мокиенко,"Мокиенко, Тимофей",Мария Конопатова,"=""""","=""9785913393104""",5,4.23,Комильфо,Hardcover,320,2015,2015,2018/11/29,2018/11/25,,,read,,,,1,,,0,,,,,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",5,3.62,Vintage,Paperback,259,1992,1962,2018/11/25,2018/10/28,,,read,,,,1,,,0,,,,,
36404974,Невероятные приключения Лавлейс и Бэббиджа. (Почти) правдивая история первого компьютера,Sydney Padua,"Padua, Sydney",,"=""""","=""9785001009436""",3,4.03,"Манн, Иванов и Фербер",Hardcover,320,2017,2015,2018/11/15,2018/10/26,,,read,,,,1,,,0,,,,,
24566476,Как закалялась сталь,Nikolai Ostrovsky,"Ostrovsky, Nikolai",Николай Алексеевич Островский,"=""""","=""""",3,3.84,Общественное достояние,Kindle Edition,384,,1934,2018/10/26,2018/10/16,,,read,,,,1,,,0,,,,,
23198769,История Российского Государства. Ордынский период,Boris Akunin,"Akunin, Boris",Boris Akunin,"=""""","=""9785170825240""",5,4.45,,,396,2014,2014,2018/10/16,2018/09/22,,,read,,,,1,,,0,,,,,
29324861,Learning React: Functional Web Development with React and Redux,Alex Banks,"Banks, Alex",Eve Porcello,"=""1491954620""","=""9781491954621""",4,4.01,O'Reilly Media,Paperback,350,2017,,2018/09/27,2018/08/02,,,read,,,,1,,,0,,,,,
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",0,4.39,hpmor.com & fanfiction.net,ebook,2184,2015,2015,,2018/09/22,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",0,4.27,IT Revolution Press,Hardcover,345,2013,2013,,2018/09/16,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
25263858,Опрокинутый мир,Christopher Priest,"Priest, Christopher",Олег Битов,"=""""","=""""",5,3.91,МИР,Paperback,352,1985,1974,2018/09/09,2018/09/06,,,read,,,,1,,,0,,,,,
22601292,Мечтают ли андроиды об электроовцах?,Philip K. Dick,"Dick, Philip K.",Филип К. Дик,"=""5700100126""","=""9785700100120""",4,4.08,Центрполиграф,Hardcover,445,1992,1968,2018/08/10,2018/08/05,,,read,,,,1,,,0,,,,,
36492308,"11 месяцев в пути, или Как проехать две Америки на велосипеде",Евгений Почаев,"Почаев, Евгений",,"=""""","=""9785961464863""",3,4.71,Альпина Паблишер,Hardcover,318,2017,2017,2018/08/05,2018/07/23,,,read,,,,1,,,0,,,,,
24819472,Аннигиляция,Jeff VanderMeer,"VanderMeer, Jeff",Джефф Вандермеер,"=""5699780491""","=""9785699780495""",2,3.71,Эксмо,Hardcover,256,2015,2014,2018/08/05,2018/08/02,,,read,,,,1,,,0,,,,,
26457146,Python Data Science Handbook: Tools and Techniques for Developers,Jake Vanderplas,"Vanderplas, Jake",,"=""1491912057""","=""9781491912058""",3,4.31,O'Reilly Media,Paperback,500,2016,2016,2018/07/23,2018/03/01,,,read,,,,1,,,0,,,,,
36661143,Азиатская европеизация. История Российского Государства. Царь Петр Алексеевич,Boris Akunin,"Akunin, Boris",Борис Акунин,"=""""","=""9785170825721""",5,4.37,АСТ,Hardcover,384,2017,,2018/06/02,2018/05/10,,,read,,,,1,,,0,,,,,
36522319,Изобретено в России: История русской изобретательской мысли от Петра I до Николая II,Тим Скоренко,"Скоренко, Тим",,"=""""","=""""",5,4.28,Альпина Нон-фикшн,,330,2017,,2018/05/10,2018/04/19,,,read,,,,1,,,0,,,,,
15724750,Атлант расправил плечи (1-й том),Ayn Rand,"Rand, Ayn",Айн Рэнд,"=""""","=""""",5,4.24,,,431,,1957,2018/04/20,2018/04/19,,,read,,,,1,,,0,,,,,
34446941,Манарага,Vladimir Sorokin,"Sorokin, Vladimir",Владимир Сорокин,"=""""","=""9785171027575""",5,3.43,АСТ,Hardcover,256,2017,2017,2018/04/02,2018/03/01,,,read,,,,2,,,0,,,,,
28644879,В интернете кто-то неправ! Научные исследования спорных вопросов,Ася Казанцева,"Казанцева, Ася",,"=""""","=""9785170921812""",5,4.32,Corpus,Hardcover,376,2016,2016,2018/01/09,2017/11/22,,,read,,,,1,,,0,,,,,
16031148,Охота на царя,Николай Свечин,"Свечин, Николай",,"=""""","=""""",3,3.51,"Яуза, Эксмо, Литера",Hardcover,224,2008,2008,,2017/11/22,,,read,,,,1,,,0,,,,,
17189938,Завещание Аввакума,Николай Свечин,"Свечин, Николай",,"=""""","=""9785699290284""",3,3.24,"Яуза, Эксмо, Литера",Hardcover,192,2008,2008,,2017/11/22,,,read,,,,1,,,0,,,,,
20765842,Кто бы мог подумать! Как мозг заставляет нас делать глупости,Ася Казанцева,"Казанцева, Ася",,"=""""","=""9785170823789""",5,4.17,Corpus,Hardcover,320,2014,2014,,2017/11/22,,,read,,,,1,,,0,,,,,
36197936,iPhuck 10,Victor Pelevin,"Pelevin, Victor",,"=""5040893949""","=""9785040893942""",2,3.82,Эксмо,Hardcover,416,2017,2017,2017/11/22,2017/10/11,,,read,,,,1,,,0,,,,,
17732691,Программируем коллективный разум,Toby Segaran,"Segaran, Toby",Тоби Сегаран,"=""5932861193""","=""""",5,4.08,Символ-Плюс,,368,2012,2002,,2017/10/11,,,read,,,,1,,,0,,,,,
17623625,Enterprise Web Development: Building HTML5 Applications: From Desktop to Mobile,Yakov Fain,"Fain, Yakov","Victor Rasputnis, Anatole Tartakovsky, Viktor Gamov","=""1449356818""","=""9781449356811""",5,3.91,O'Reilly Media,Paperback,500,2014,2013,,2017/10/11,,,read,,,,1,,,0,,,,,
8065522,Ководство,Artemy Lebedev,"Lebedev, Artemy",,"=""5980620168""","=""9785980620165""",5,4.16,,ebook,,,2006,,2017/10/11,,,read,,,,1,,,0,,,,,
23546676,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,"Popper, Nathaniel",,"=""0062362496""","=""9780062362490""",5,4.16,Harper,Hardcover,416,2015,2015,,2017/07/26,,,read,,,,1,,,0,,,,,
12544648,Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""1466208686""","=""9781466208681""",4,4.35,Createspace,Paperback,500,2011,2008,,2017/07/26,,,read,,,,1,,,0,,,,,
35506969,Эпоха криптовалют. Как биткоин и блокчейн меняют мировой экономический порядок,Paul Vigna,"Vigna, Paul",Michael J. Casey,"=""9785001007""","=""""",4,3.86,"Манн, Иванов и Фербер",Hardcover,432,2017,2015,,2017/10/06,,,read,,,,1,,,0,,,,,
35525142,Текст,Dmitry Glukhovsky,"Glukhovsky, Dmitry",Дмитрий Глуховский,"=""""","=""9785171035211""",4,3.93,Аст,Hardcover,320,2017,2017,,2017/10/06,,,read,,,,1,,,0,,,,,
11554299,"Снеговик (Harry Hole, #7)",Jo Nesbø,"Nesbø, Jo","Ю Несбё, Ekaterina Gudova","=""538900941X""","=""9785389009417""",5,4.02,Иностранка,Hardcover,576,2010,2007,,2017/10/06,,,read,,,,1,,,0,,,,,
35357218,Война. Чужими руками,Николай Стариков,"Стариков, Николай",,"=""""","=""9785699980758""",3,4.00,Эксмо,Hardcover,352,2017,,,2017/10/06,,,read,,,,1,,,0,,,,,
33199216,"Между Европой и Азией. История российского государства. Семнадцатый век. (История российского государства, #4)",Boris Akunin,"Akunin, Boris","Boris Akunin, Александр Клюквин","=""""","=""""",5,4.42,Аудиокнига,Audiobook,,2016,2016,,2017/10/06,,,read,,,,1,,,0,,,,,
30736333,Верховный алгоритм,Pedro Domingos,"Domingos, Pedro",Педро Домингос,"=""""","=""9785001001720""",4,3.77,МИФ,Paperback,336,2016,2015,,2017/10/06,,,read,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,"=""0307347974""","=""9780307347978""",4,3.99,DeBolsillo,Mass Market Paperback,175,2004,1953,,2017/03/14,,,read,,,,1,,,0,,,,,
6421982,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.44,Bantam,Kindle Edition,819,2003,1996,,2017/03/14,,,read,,,,1,,,0,,,,,
6262104,Санькя,Zakhar Prilepin,"Prilepin, Zakhar",Захар Прилепин,"=""5911030322""","=""9785911030322""",5,3.64,"АСТ, Астрель",Hardcover,352,2011,2000,,2017/03/14,,,read,,,,1,,,0,,,,,
34180676,Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Aditya Y. Bhargava,"Bhargava, Aditya Y.",Адитья Бхаргава,"=""""","=""9785496025416""",5,4.41,Питер ,Paperback,288,2017,2015,,2017/03/13,,,read,,,,1,,,0,,,,,
